,Popularity,Release Date,Title,Vote Average,Vote Count,id
261,2.707012,2015-08-26,No Escape,6.7,635,192141
262,2.501921,2015-08-26,We Are Your Friends,6.2,493,301351
263,1.270483,2015-08-26,Bang Gang (A Modern Love Story),4.0,81,327040
264,1.41929,2015-08-26,Dheepan,6.8,99,314402
265,1.220965,2015-08-27,The Assassin,6.6,131,253450
266,1.34529,2015-08-27,Holding the Man,8.0,69,337960
267,2.175421,2015-08-28,The Wave,6.5,234,336882
268,2.297751,2015-08-28,A Perfect Day,6.4,145,321751
269,1.475098,2015-08-28,45 Years,6.2,218,311291
270,1.598835,2015-08-28,Deathgasm,6.5,130,323373
271,2.135666,2015-08-28,War Room,6.6,73,323272
272,2.138982,2015-08-28,Visions,5.3,95,353686
273,1.757074,2015-08-28,Zipper,5.5,52,309503
274,1.295857,2015-08-31,Curve,4.5,57,347754
275,1.642151,2015-09-01,Attack on Titan II: End of the World,4.8,50,340382
276,2.546574,2015-09-02,A Walk in the Woods,5.6,226,232572
277,2.204609,2015-09-02,The Brand New Testament,6.5,327,330764
278,4.340785,2015-09-03,Solace,6.1,594,339527
279,1.682104,2015-09-03,Lolo,5.3,78,341392
280,3.109769,2015-09-03,The Transporter Refueled,5.2,469,287948
281,2.545165,2015-09-04,Black Mass,6.3,1069,261023
282,3.434288,2015-09-04,Equals,5.8,227,301875
283,1.303264,2015-09-04,Spy Time,5.4,52,284514
284,1.143368,2015-09-08,Don't Be Bad,7.5,82,359156
285,2.810971,2015-09-09,Legend,6.7,790,276907
286,6.029167,2015-09-09,Maze Runner: The Scorch Trials,6.4,2237,294254
287,1.939916,2015-09-10,Knight of Cups,5.9,146,86835
288,4.536866,2015-09-10,Everest,6.7,1454,253412
289,2.965927,2015-09-10,Fuck You Goethe 2,6.6,191,329263
290,1.767878,2015-09-10,A War,6.8,50,348674
291,3.206904,2015-09-10,The Visit,6.0,1017,298312
292,2.019873,2015-09-11,Our Brand Is Crisis,5.8,168,10317
293,1.75763,2015-09-11,Beasts of No Nation,7.6,384,283587
294,1.384677,2015-09-11,The Perfect Guy,5.6,137,304372
295,1.699153,2015-09-11,Blackway,5.1,51,359790
296,3.131166,2015-09-11,Eye in the Sky,7.2,416,333352
297,3.969469,2015-09-12,Hardcore Henry,6.2,585,325348
298,1.073364,2015-09-12,Human,8.5,70,359364
299,3.126432,2015-09-12,Truth,6.4,129,300693
300,1.073364,2015-09-12,Human,8.5,70,359364
301,1.355245,2015-09-15,Hidden,6.6,141,360784
302,1.613957,2015-09-16,Pay the Ghost,5.2,161,290637
303,1.195916,2015-09-16,Marguerite,6.4,75,352157
304,2.241682,2015-09-16,The Program,6.1,146,271736
305,1.702396,2015-09-16,Forsaken,5.9,80,354110
306,4.912761,2015-09-17,Sicario,7.2,1933,273481
307,1.992126,2015-09-17,Captive,5.6,77,331190
308,1.312353,2015-09-17,Southbound,6.1,112,354251
309,1.605176,2015-09-18,Naomi and Ely's No Kiss List,5.8,184,306952
310,4.072962,2015-09-21,Hotel Transylvania 2,6.7,1128,159824
311,3.544413,2015-09-24,Pan,5.9,730,266647
312,3.26122,2015-09-24,The Intern,7.1,1534,257211
313,1.588105,2015-09-25,Retribution,6.8,85,351145
314,3.327154,2015-09-30,The Walk,6.9,881,285783
315,9.984292,2015-09-30,The Martian,7.6,5522,286217
316,1.292873,2015-09-30,One Man and his Cow,7.2,63,377799
317,2.863943,2015-10-01,Fathers and Daughters,7.0,190,254172
318,2.457258,2015-10-01,Regression,5.2,428,241257
319,1.559438,2015-10-01,Howl,5.0,100,301846
320,3.236039,2015-10-01,The Dressmaker,6.8,282,298382
321,2.686737,2015-10-02,Burnt,6.3,769,295964
322,1.253256,2015-10-02,Hell & Back,4.9,62,336313
323,1.571693,2015-10-02,Freeheld,7.1,126,306745
324,1.350717,2015-10-02,Circle,6.1,223,335866
325,2.092775,2015-10-06,Tremors 5: Bloodlines,5.3,74,339530
326,1.405806,2015-10-07,The Student and Mister Henri,7.0,63,360638
327,2.113702,2015-10-08,Look Who's Back,6.9,317,318917
328,3.066349,2015-10-08,The Lobster,6.7,962,254320
329,1.980664,2015-10-09,The Final Girls,6.6,293,293970
330,1.305375,2015-10-09,The Exorcism of Molly Hartley,5.0,73,353345
331,3.269618,2015-10-09,Steve Jobs,6.8,1284,321697
332,1.286652,2015-10-09,Winter on Fire: Ukraine's Fight for Freedom,8.1,58,355020
333,1.185901,2015-10-09,Invisible Sister,6.3,54,360605
334,2.237046,2015-10-09,I Spit on Your Grave III: Vengeance is Mine,5.0,128,357096
335,3.34625,2015-10-13,Crimson Peak,6.4,1070,201085
336,2.448518,2015-10-14,Secret in Their Eyes,6.2,271,290751
337,1.845331,2015-10-14,Suburra,7.3,190,356296
338,1.186154,2015-10-14,The Ones Below,5.9,56,356842
339,1.318917,2015-10-14,The New Adventures of Aladin,4.8,164,344268
340,4.914115,2015-10-15,Bridge of Spies,7.1,2066,296098
341,1.522919,2015-10-16,Tales of Halloween,5.4,93,306964
342,2.970475,2015-10-16,Suffragette,7.1,317,245168
343,3.578554,2015-10-16,Room,8.1,2042,264644
344,1.38322,2015-10-16,Experimenter,6.8,136,309299
345,3.082725,2015-10-20,Brooklyn,7.3,982,167073
346,2.858501,2015-10-20,Back in Time,5.9,93,330127
347,2.170657,2015-10-21,Paranormal Activity: The Ghost Dimension,5.0,334,146301
348,3.637427,2015-10-21,The Last Witch Hunter,5.6,1048,274854
349,1.647324,2015-10-21,My King,7.0,155,329805
