,Actor1 Id,Actor1 Name,Actor2 Id,Actor2 Name,Actor3 Id,Actor3 Name,Movie Id
237,1220936,Yuuko Sanpei,1246233,Kokoro Kikuchi,82055,Junko Takeuchi,347201
238,133168,Haruma Miura,226711,Kiko Mizuhara,114725,Kanata Hongo,295830
239,93650,Guillermo Francella,1376653,Peter Lanzani,1271291,Liliana Popovich,352161
240,1371398,O'Shea Jackson Jr.,1154054,Corey Hawkins,1115984,Jason Mitchell,277216
241,234352,Margot Robbie,5294,Chiwetel Ejiofor,62064,Chris Pine,193687
242,73968,Henry Cavill,53807,Armie Hammer,227454,Alicia Vikander,203801
243,55936,Jemaine Clement,35705,Regina Hall,1003843,Stephanie Allynne,308027
244,1228341,Munro Chambers,76877,Laurence Leboeuf,11086,Michael Ironside,310135
245,4886,Norman Reedus,938,Djimon Hounsou,65345,Sandrine Holt,284674
246,45400,Greta Gerwig,1345418,Lola Kirke,1388548,Charlie Gillette,309245
247,17288,Michael Fassbender,8293,Marion Cotillard,14887,Paddy Considine,225728
248,527313,Taissa Farmiga,1088672,Ben Rosenfield,1106411,Lindsay Burdge,323674
249,44735,Jesse Eisenberg,37917,Kristen Stewart,17052,Topher Grace,261392
250,27855,Shannyn Sossamon,5296,James Ransone,965205,Tate Ellington,283445
251,1121169,Iz?a Higelin,17522,C?cile De France,49168,No?mie Lvovsky,273153
252,47820,Beno?t Poelvoorde,118178,Virginie Efira,77929,Fran?ois Morel,342281
253,1003,Jean Reno,220692,Alban Lenoir,10916,Caterina Murino,348060
254,36669,Rupert Friend,17306,Zachary Quinto,577478,Hannah Ware,249070
255,115150,Kaya Scodelario,1047649,Ed Skrein,15336,Dougray Scott,341077
256,887,Owen Wilson,25703,Lake Bell,517,Pierce Brosnan,192141
257,29222,Zac Efron,1186505,Emily Ratajkowski,8210,Wes Bentley,301351
258,1431070,Marilyn Lima,123983,Daisy Broom,583853,Finnegan Oldfield,327040
259,1470255,Jesuthasan Antonythasan,1470256,Kalieaswari Srinivasan,1470257,Claudine Vinasithamby,314402
260,21911,Shu Qi,1622,Chang Chen,1309285,Nikki Hsieh,253450
261,1213279,Ryan Corr,75178,Craig Stott,529,Guy Pearce,337960
262,7742,Kristoffer Joner,4457,Thomas Bo Larsen,63769,Ane Dahl Torp,336882
263,18182,Olga Kurylenko,1121,Benicio del Toro,504,Tim Robbins,321751
264,44079,Charlotte Rampling,14011,Tom Courtenay,178614,Dolly Wells,311291
265,966556,Milo Cawthorne,1406654,Kimberley Crossman,1422674,Sam Berkley,323373
266,1498038,Priscilla C. Shirer,525138,T.C. Stallings,167132,Karen Abercrombie,323272
267,52848,Isla Fisher,56675,Anson Mount,94098,Gillian Jacobs,353686
268,17178,Patrick Wilson,17286,Lena Headey,3037,Richard Dreyfuss,309503
269,143240,Julianne Hough,63540,Teddy Sears,1485114,Madalyn Horcher,347754
270,133168,Haruma Miura,226711,Kiko Mizuhara,114725,Kanata Hongo,340382
271,4135,Robert Redford,1733,Nick Nolte,7056,Emma Thompson,232572
272,1381361,Pili Groyne,47820,Beno?t Poelvoorde,2415,Yolande Moreau,330764
273,4173,Anthony Hopkins,47296,Jeffrey Dean Morgan,37260,Abbie Cornish,339527
274,1146,Julie Delpy,37627,Dany Boon,83797,Vincent Lacoste,341392
275,1047649,Ed Skrein,56614,Ray Stevenson,1381175,Loan Chabanol,287948
276,85,Johnny Depp,33192,Joel Edgerton,71580,Benedict Cumberbatch,261023
277,37917,Kristen Stewart,3292,Nicholas Hoult,529,Guy Pearce,301875
278,36281,Imanol Arias,34018,Quim Guti?rrez,1283862,Berto Romero,284514
279,509344,Luca Marinelli,1395660,Alessandro Borghi,55794,Silvia D'Amico Bendico,359156
280,2524,Tom Hardy,70456,Emily Browning,2040,Christopher Eccleston,276907
281,527393,Dylan O'Brien,115150,Kaya Scodelario,25663,Thomas Brodie-Sangster,294254
282,3894,Christian Bale,112,Cate Blanchett,524,Natalie Portman,86835
283,76512,Jason Clarke,131,Jake Gyllenhaal,16851,Josh Brolin,253412
284,25409,Elyas M?Barek,17067,Karoline Herfurth,1272059,Max von der Groeben,329263
285,90060,Pilou Asb?k,67737,Tuva Novotny,82537,S?ren Malling,348674
286,1385063,Olivia DeJonge,1198286,Ed Oxenbould,17696,Kathryn Hahn,298312
287,18277,Sandra Bullock,53650,Anthony Mackie,879,Billy Bob Thornton,10317
288,17605,Idris Elba,1345967,Opeyemi Fagbohungbe,1421427,Abraham Attah,283587
289,8177,Michael Ealy,5411,Sanaa Lathan,9779,Morris Chestnut,304372
290,4173,Anthony Hopkins,12041,Julia Stiles,23498,Alexander Ludwig,359790
291,15735,Helen Mirren,84497,Aaron Paul,4566,Alan Rickman,333352
